Game,	Server,	Faction
Diablo 2 Resurrected,	PC - Ladder- Hardcore
Diablo 2 Resurrected,	PC - Ladder- Softcore
Diablo 2 Resurrected,	PC - Softcore
Diablo 2 Resurrected,	PS4/PS5 - Hardcore
Diablo 2 Resurrected,	PS4/PS5 - Ladder - Hardcore
Diablo 2 Resurrected,	PS4/PS5 - Ladder - Softcore
Diablo 2 Resurrected,	PS4/PS5 - Softcore
Diablo 2 Resurrected,	Xbox One/Series - Hardcore
Diablo 2 Resurrected,	Xbox One/Series - Ladder - Hardcore
Diablo 2 Resurrected,	Xbox One/Series - Ladder - Softcore
Diablo 2 Resurrected,	Xbox One/Series - Softcore
Diablo 4,	Eternal Realm HC
Diablo 4,	Eternal Realm SC
Diablo 4,	S6 - Season of Hatred HC
Diablo 4,	S6 - Season of Hatred SC
Diablo Immortal,	East Asia-Japanese,	Escala
Diablo Immortal,	East Asia-Japanese,	Eskara
Diablo Immortal,	East Asia-Japanese,	Faheem
Diablo Immortal,	East Asia-Japanese,	Fahir
Diablo Immortal,	East Asia-Japanese,	Horadric Cube
Diablo Immortal,	East Asia-Japanese,	Inarius
Diablo Immortal,	East Asia-Japanese,	Lakrii
Diablo Immortal,	East Asia-Japanese,	Lilith
Diablo Immortal,	East Asia-Japanese,	Manoruk
Diablo Immortal,	East Asia-Japanese,	Not Listed - Message Seller
Diablo Immortal,	East Asia-Japanese,	Ongori
Diablo Immortal,	East Asia-Japanese,	Tyrael
Diablo Immortal,	East Asia-Japanese,	Zaim
Diablo Immortal,	East Asia-Japanese,	Zov
Diablo Immortal,	East Asia-Korean,	Askari
Diablo Immortal,	East Asia-Korean,	Cydaea
Diablo Immortal,	East Asia-Korean,	Daedessa
Diablo Immortal,	East Asia-Korean,	Ennead
Diablo Immortal,	East Asia-Korean,	Griswold
Diablo Immortal,	East Asia-Korean,	Harlequin Crest
Diablo Immortal,	East Asia-Korean,	Kashya
Diablo Immortal,	East Asia-Korean,	Lethes
Diablo Immortal,	East Asia-Korean,	Namari
Diablo Immortal,	East Asia-Korean,	Que-Hegan
Diablo Immortal,	East Asia-Korean,	Rayek
Diablo Immortal,	East Asia-Korean,	Sargoth
Diablo Immortal,	East Asia-Korean,	Tal Rasha
Diablo Immortal,	East Asia-Korean,	Tassi
Diablo Immortal,	East Asia-Korean,	Vataos
Diablo Immortal,	East Asia-Korean,	Zaka
Diablo Immortal,	Europe-English,	Archbishop Lazarus
Diablo Immortal,	Europe-English,	Arreat Summit
Diablo Immortal,	Europe-English,	Blood Rose
Diablo Immortal,	Europe-English,	Cathedral of Light
Diablo Immortal,	Europe-English,	Crystal Arch
Diablo Immortal,	Europe-English,	Dark Exile
Diablo Immortal,	Europe-English,	Dark Wanderer
Diablo Immortal,	Europe-English,	Diamond Gates
Diablo Immortal,	Europe-English,	Frost Horrors
Diablo Immortal,	Europe-English,	Frozen Orb
Diablo Immortal,	Europe-English,	Gharbad the Weak
Diablo Immortal,	Europe-English,	Not Listed - Message Seller
Diablo Immortal,	Europe-English,	Oblivion Knight
Diablo Immortal,	Europe-English,	Sea of Light
Diablo Immortal,	Europe-English,	Sightless Eye
Diablo Immortal,	Europe-English,	Stone of Jordan
Diablo Immortal,	Europe-English,	Stygian Fury
Diablo Immortal,	Europe-English,	Talva Silvertongue
Diablo Immortal,	Europe-English,	The Ancients
Diablo Immortal,	Europe-English,	The Borderlands
Diablo Immortal,	Europe-English,	The Butcher
Diablo Immortal,	Europe-English,	The Countess
Diablo Immortal,	Europe-English,	The Hellforge
Diablo Immortal,	Europe-English,	The Martyr
Diablo Immortal,	Europe-English,	The Unspoken
Diablo Immortal,	Europe-English,	The Void
Diablo Immortal,	Europe-English,	Thorned Hulk
Diablo Immortal,	Europe-English,	Throne of Destruction
Diablo Immortal,	Europe-English,	Trade Consortium
Diablo Immortal,	Europe-English,	Wood Wraith
Diablo Immortal,	Europe-English,	Yshari Sanctum
